y,t,g,Q
60,0,0.03019020565688818,72.93236347006395
94,0,0.12252798150795789,84.15170288507281
70,1,0.7616019492949647,64.12607466435593
84,0,0.2998086116954381,86.48437481818165
80,0,0.39387862847652927,86.15964939412379
88,0,0.8506488505560125,72.74071815144652
78,0,0.10089575437319069,78.81320496917704
104,0,0.45813498415823944,82.68886569228525
68,1,0.8718362687474347,78.26263464533781
74,1,0.6022952004891742,74.31614595927145
64,1,0.8438505327588172,71.41809193466736
80,0,0.49431344096106006,82.13213022655016
68,0,0.4085171268009029,80.53632343879026
82,0,0.4564579905544372,88.68570979018637
58,1,0.48036895909837407,76.67491085165625
76,1,0.33190686289158616,82.01584699085741
74,0,0.11163144006396891,84.1766219950059
66,0,0.18019989040987916,76.05009227437165
54,0,0.03362856227091311,74.21596844389448
84,0,0.7157883397612531,82.08463213947508
98,1,0.5123104741643472,87.50871751450802
68,0,0.06640277787452105,74.97659996941125
76,1,0.7715100699918617,72.36895115742846
98,0,0.5391069975490482,73.77144478110816
80,0,0.3329311683426782,82.72666145325883
90,0,0.6434814675607551,78.8690771691294
80,1,0.8199329524125619,67.76220339119659
82,1,0.5634350615247354,82.3437589891351
74,1,0.6652669878439097,80.74488408071483
82,0,0.3614693550574091,81.86682757937318
46,1,0.8323579424056956,51.84959303914181
110,0,0.37837318820308163,83.24350313134312
90,1,0.8337310514654708,74.39833520765596
92,0,0.5106662478309546,89.35654353096781
76,1,0.7997613404616739,68.73460546535092
82,0,0.5098425365176857,81.9210736083828
92,0,0.3660048192708539,85.36759929040775
60,0,0.09179282416941359,76.9603696272856
106,0,0.14118433623390253,82.94398818642296
76,1,0.3936881990642379,83.12973929141356
70,0,0.6124343465267871,82.352805809469
72,0,0.6454319128055309,82.97921650421863
70,0,0.5918256231228798,76.96673468322675
74,0,0.4539632359356705,84.01867240937653
90,0,0.3610622198348567,84.45823200821057
78,0,0.4328205610753517,82.08357508856285
84,0,0.790104433568171,79.30238213822616
78,0,0.2031339834185577,81.35486684230727
90,0,0.23730149173745124,81.71816643324507
76,1,0.44108517430839905,76.12128079988081
82,0,0.4974522959380851,81.29144203490107
100,1,0.2068919783429592,80.28759313185209
74,0,0.34793383234375097,74.66408654035396
78,0,0.58586891903798,79.54916110666784
80,0,0.10881658662838167,78.90806135032516
80,0,0.7520571688266745,76.85016419589014
66,0,0.13924732167006476,75.55579826671651
54,1,0.6021058283401342,83.77193275343828
84,0,0.305589524587451,86.42734598133953
92,1,0.4254339491572043,87.46702464328267
74,1,0.3254021130944467,81.00775570660002
0,1,0.745210356954401,74.38240099824841
70,1,0.8048666377471394,76.90100906318565
74,0,0.1150320787965979,84.72978905353112
82,1,0.4285756504851538,91.16035151292525
74,0,0.2586183995836809,86.36343652749184
90,0,0.3294292765888185,80.62917873178385
80,1,0.36735047023465184,83.92641782442925
76,1,0.7099079803873845,78.09741832796094
60,1,0.7526101238795366,71.20072869974102
90,1,0.503268915599548,76.38329381941769
68,1,0.7616071357708311,71.29857230841891
88,1,0.7020785370649514,77.36826143695261
60,1,0.7464209979999695,69.54939824648159
92,0,0.39754359769158537,86.83179696892311
78,0,0.6702038763771906,76.32865846905298
98,1,0.4349273193277433,82.71981567963547
86,1,0.1405784578755221,83.85249079822886
72,0,0.051108852808907736,74.03197913082447
90,0,0.543497434863505,81.60628859130702
86,1,0.3345589178259846,81.68752344750354
80,0,0.07942074900259884,82.19719458575948
88,1,0.6997202841608019,80.91726714888189
68,0,0.837290988955133,69.71111658421862
68,1,0.46985470327419004,75.06819239562704
72,0,0.4064730516588507,81.3814770447881
80,1,0.4368489238713878,83.7372969371539
80,1,0.5818098213721244,77.58398494657504
70,0,0.09298760917940854,79.5397399802721
80,0,0.3093494152957139,79.32403275405802
88,0,0.168176186179071,84.02693380473818
88,1,0.47773211473858695,81.8392361636125
68,1,0.18570389147170205,82.76047293563393
68,1,0.5779796258952415,79.16251388988036
68,0,0.0921607015095138,74.81649390274168
82,0,0.21747049274945593,80.77313694696105
58,0,0.4602092170091154,76.82694387763735
82,0,0.3528541524412806,81.06363138423096
50,1,0.8302892937314311,62.992475769999864
64,1,0.8333225817681819,78.9084862407949
66,0,0.13041015010903198,85.06095452776476
82,0,0.3856319301884248,80.65657664712515
74,1,0.7333226626976104,74.04006499450348
66,1,0.8432165203056022,59.07352979111588
88,1,0.2649006721796268,86.57178621096602
98,1,0.34151164237864495,86.90867123755004
80,0,0.3087739434323978,89.82858705420043
86,1,0.7693716652711167,78.02676965930286
72,0,0.06887661959526133,78.82382370001328
76,1,0.6371997413416794,72.00101023692983
94,1,0.7634445132190412,83.71774922484299
80,1,0.647257556764195,77.43779804032641
88,0,0.3127662005449482,84.33408045943361
64,1,0.793298011299229,69.7630653442102
76,0,0.06815592631542998,87.65342370129049
70,1,0.4650845427328505,86.63111054330203
76,1,0.7965636261780277,68.91250446537977
60,1,0.7276533139479641,78.69036558913827
78,1,0.7884672229372676,79.89211399990289
74,0,0.36553987669314714,86.95410231424358
82,1,0.7359241800154801,75.16714871595124
66,1,0.8036077544842269,38.88776431318944
86,0,0.4144443129452345,80.48587544861348
68,1,0.6318829033325629,78.57760324086517
80,1,0.6567294398038794,75.09015237774692
76,1,0.5256912995604327,81.95995261370739
88,1,0.5468913619264916,83.3832570966496
72,1,0.7374539651296542,76.87502507725829
64,1,0.5732095807954046,81.78526266265519
70,1,0.8183347621167352,64.59570997250461
82,0,0.6224531434192953,78.38264685682805
70,0,0.26487952369045303,88.612289044401
80,1,0.13668408978769392,85.23901377348811
88,1,0.6727605718792906,83.85963264697939
72,1,0.8557303836676432,64.80527015948687
72,0,0.19828775491541176,82.50130696672736
58,0,0.4543050905286728,84.01828681564334
108,0,0.12776319020561036,88.04724682231709
96,0,0.2913915879038929,81.42978431628185
74,0,0.04479143499407782,71.16453655058007
74,0,0.5989329276467109,84.51315994826932
74,1,0.7025005193360292,56.43849081502552
84,0,0.01843517436201888,83.78982438830808
74,0,0.08935141482078537,75.63422196409697
80,1,0.24000696056390958,79.74518608485101
96,0,0.11911198780781815,80.45861452491108
92,0,0.34553942528621157,84.43327540924605
92,0,0.25436581851533807,85.69193518448873
74,0,0.4465316302169184,84.81362549825923
84,1,0.489104177995225,79.77845339871845
72,0,0.8415393087205553,69.5911889408589
98,0,0.574072463625695,81.89556031009957
96,0,0.34385340214682497,82.0429652730149
72,0,0.0753480161593997,79.05859654252667
90,1,0.5064124000714239,77.1223876276697
90,0,0.7152332729390265,81.9056388606847
78,0,0.21216934719123465,85.02672058845319
72,1,0.8386799417443593,75.32226479176934
60,1,0.8777823645687215,75.00628809247296
84,1,0.2863100081541399,84.73134802125293
70,0,0.03824463876705646,72.03342195799563
78,1,0.1886289588593558,87.01927588615943
82,0,0.056544981877529946,84.8856520748851
74,0,0.3784145373934867,80.01926876325562
86,1,0.5225336691395468,77.96626393340054
76,0,0.57156185106082,82.06786378097905
68,0,0.6617896861691502,76.62067722861646
76,1,0.16433081389188892,86.12095981823663
86,0,0.6155458429894236,85.85560693339927
84,1,0.6458470502463777,76.2535690038688
82,1,0.5426149259639127,81.70063743735733
98,0,0.09622212530297629,80.22204641439443
80,0,0.43609545594748395,88.22872263797258
88,0,0.7866868976514451,78.19667601365404
80,0,0.7329244482462673,78.69211402974904
104,0,0.4902201870033066,83.04204880213452
82,1,0.8613841913608499,70.93046663640297
68,1,0.7223255742786774,76.18335838080155
58,0,0.13712995977784592,83.30571660025642
84,0,0.5422032330298071,87.44083662115497
84,0,0.028885034682759173,89.81517882200016
70,0,0.044761595029025575,68.19047162972045
68,1,0.40315865431301534,86.51955723792723
70,0,0.4595211257031059,83.57003134994767
62,1,0.8865546353568251,72.00067171370947
88,0,0.47225220026169096,82.47188749891527
74,0,0.37801080205020504,79.51457850898277
92,0,0.2666285579973733,88.41694606485754
86,1,0.4219317549191685,79.21226589350664
96,0,0.12190549644236673,80.66940577612263
84,1,0.7504920477255227,71.81403303529686
80,0,0.2094142771729145,82.35593931042918
96,0,0.36941675954815617,84.24502506457225
86,0,0.6046741950020899,86.44498897728444
46,0,0.5417809966541934,82.25852594176008
86,0,0.12745741867937968,91.67082534927577
70,0,0.7020823703785296,76.45617953457824
96,0,0.03306553664184411,66.52060863793413
78,0,0.32343350387951536,82.62500373277886
68,0,0.031707169420064366,69.68343601455256
92,0,0.08988110845918679,80.9018422683114
96,1,0.7742230425851093,72.90637289806219
88,0,0.1703088644811803,91.58593745548986
70,0,0.07582755617790952,72.91601211042297
68,1,0.5420083191105624,79.00062786927501
98,0,0.15312982730073463,84.56126406132701
84,1,0.6380400142662911,74.78911502669517
100,1,0.272641517804279,86.40798793853777
100,0,0.5625206305972447,86.08214074542836
98,0,0.45470750987443465,84.36382610893354
78,0,0.17025623886042035,82.71258154808102
88,0,0.14495673605270368,83.47002233134616
68,0,0.14649150210604042,83.52975365949216
76,0,0.0629514224346957,71.24961163335828
108,1,0.5017942913708159,87.70795602168036
82,0,0.1548352248238851,83.95510631608468
66,0,0.5998018616568619,83.23710243018634
88,0,0.7670023317128289,73.55932581468112
90,0,0.8562845988386124,76.23735041609476
82,0,0.22077684958110122,86.33116851126631
56,1,0.6892031661622674,72.36921737855523
96,0,0.5160545627462811,85.10742797011952
76,0,0.15811340728690632,73.1409745319375
64,1,0.8217055533152674,75.70674381295987
84,0,0.1353852383670674,86.51916800284305
72,0,0.054986737907893296,78.44270604121964
80,0,0.19329138056747042,81.24559215259963
82,0,0.773102901612142,62.86590250423207
90,0,0.47346296679228206,78.05556839997165
70,0,0.7854983906089525,75.05438772385057
82,1,0.6327312633533503,75.4649365155727
60,0,0.20743061324233678,84.82307696287452
88,1,0.8415356934071488,71.10281631923563
70,0,0.019372573380970655,72.00579405314498
86,0,0.4789304848601012,84.43838623748535
84,1,0.570071226399061,78.93969168965036
60,0,0.053172008283408366,66.83534122107957
110,1,0.15299149999016845,85.33785401623538
76,1,0.8202623925587897,67.63436738897404
98,0,0.6361947331143369,77.95742902586733
88,1,0.5322828788750372,82.43048065578789
90,0,0.06866129893727174,77.37553817333956
70,0,0.11375518371804735,76.48594011720347
68,0,0.025865446987972013,73.68203087959266
76,1,0.6957746934070326,72.03931243080672
62,0,0.0351216830507011,76.0875825467485
92,1,0.3855380797010165,78.53804155608253
54,1,0.7750813865128298,68.29575748850793
56,0,0.8016822181370961,79.23841041267157
100,0,0.3388100464737099,78.59169135451175
88,0,0.4764543295101369,81.18246229687993
62,0,0.6200793862235846,82.26682131851732
106,0,0.11098367822674848,93.93769484077113
108,0,0.2739601452914256,79.05346694754107
60,0,0.6592145585337892,78.99391475274491
92,1,0.31216899983199686,81.51052252138784
70,0,0.49943983897078004,70.52357238380083
74,1,0.7628024236802626,73.04831612976196
66,0,0.5278828193066967,85.19316713103287
100,1,0.5233356360614353,87.34231713969977
60,0,0.01840824965859543,63.65896906707403
72,0,0.7731544999488132,78.15845937479662
92,1,0.5594119539546463,77.24692511824988
56,1,0.20606223286594608,76.64248121801761
110,0,0.09423245311329817,83.51740462546141
72,0,0.3371938351809222,84.86608578202458
74,0,0.757096351232166,79.72011269584796
76,1,0.6241324105982394,76.78975410437502
84,0,0.5231965886776049,84.50764098823285
62,1,0.7910901201967797,71.47390653383235
84,0,0.2633871261727255,83.54394251338718
78,1,0.5845520791462945,78.88698687504214
76,1,0.4925710231894424,75.86570378668381
78,0,0.16180707035905056,83.75877432215142
106,0,0.09266535980158652,83.64435828495371
84,1,0.43707118408021445,83.38884281968333
46,0,0.07074202219842801,74.61420791090453
84,0,0.12231852172483951,81.29715876393144
84,1,0.476991652299232,78.44979716328493
88,0,0.0798960568407148,79.95068605555083
74,0,0.37413669569776586,82.96020702692404
76,0,0.5629465727562044,85.06045803560512
98,0,0.21817654240647633,83.3618342202733
82,0,0.17649665615157467,82.35396806577762
94,1,0.640515620859021,92.58045994324631
86,0,0.09328323609948033,79.98777369397189
80,0,0.5730191754841426,86.8039728148308
68,1,0.8617440144237432,66.44747939464857
72,1,0.4141959777497452,81.67488115777628
72,0,0.04570739537669658,80.69671860491064
74,1,0.5096686645392555,74.78787095461134
80,0,0.03047426949964426,72.99215166027454
